Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
Newly 3bedrooms house at Spintex,Spintex,Spintex,Accra,3,3,130 sqm,Ghana cedis,2600,Egghead Properties ,21 Jun  6:06 am,House,Newly 3 bedrooms house renting at Community 18 off the Spintex road Details of the property •	Available: now  •	City: Accra  Spintex  •	Street: Community 18 •	Fence type: Block wall & metallic gate with electrical wire  •	Bedrooms: 3  •	Full baths: 3 •	Condition: very good  •	Total Land size: 130 square meter (sqm)  •	Rent: GH¢2 500.00 per month for one (1) year advance •	Property type: single family residence •	Year built: 2017 Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Brand new  •	Never been lived in •	Quality electrical fittings •	Aluminum framed  •	Sliding glazed windows •	Polished porcelain floor tiles   •	Pop ceiling  •	Alarm system-owned •	Spacious master suites  •	Security system •	Storage closet  •	Guest shower & WC •	Fitted Air-conditioners •	Hot water generation system  •	All rooms are ensuite  •	Private locker •	Living + dining:-floor area 42 sqm  security doors for front  security steel doors for the back  air conditioned  sliding glazed windows. •	Master’s bedroom:-floor area 28 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  built-in-wardrobe  walk-in closet  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobe  bathtub  the bathroom is ensuite Shower & hand wash basin  WC ceramic floor & wall tiles. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  built-in-wardrobe the bathroom is ensuite Shower & WC  bathtub  sliding glazed windows and ceramic floor & wall tiles. •	Kitchen:- floor area 14.5 sqm  internal panelled doors   modern cabinet  stainless steel double sink  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Located in the heart of town   •	Electric power:- Electricity Company of Ghana   •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Landscape courtyard •	 Garden view   •	Secure parking  •	Privacy fence  •	Balcony  •	Back yard access •	Private yard •	Garbage disposal •	Electric fenced wall •	 Big terrace •	 Play area (kids) Community Information •	Tiled streets & roads •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Resort •	Spa •	Tennis  •	Police station •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	 Shops/ markets •	Hospitals •	International schools Additional information •	Less than 20 minutes drive to Accra shopping mall •	Less than 25 minutes drive to the Kotoka International Airport   •	Less than 2 miles to Junction shopping mall in Nungua •	Less than 2 miles to the Palace shopping mall  •	Less than 2 miles to Sakumono beach •	Less than 2 miles to Sakumono celebrity golf club •	Less than 2 miles to Sakumono tennis Court   •	Less than 2 miles to KFC restaurant Spintex road  •	There are trees in the area Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa.
A 4 bedroom house at Dome,,Dome,Accra,6,5,16 sqm,Ghana cedis,3800,Simon Acheampong VERIFIED,21 Jun  6:02 am,House,An executive four bedroom house each room has its own toilet and bath with wardrobes already installed a big hall and a splendid kitchen plus a two bedroom boys quarters tiled flooring everywhere neatly paved compound burglar proofed sliding windows p.o.p ceilings fenced and gated with security barb wire to ensure your safety plus a huge neatly decorated compound unlimited access to water please interested persons should please call me thank you dont send me messages on olx please call me thank NB this house is going for 900 dollars monthly
nice 2bed self compound at Dansoman.,Dansoman control,Dansoman,Accra,3,2,10 sqm,Ghana cedis,1000,Thomas Rentals ,21 Jun  6:01 am,House,Wall n gated house  floor tiles every where   kitchen cabinet  innof space for car park.
4 bedrooms to let at spintex,sakumono,Spintex,Accra,4,4,3000 sqm,Ghana cedis,5000,Newmon Creek Limited ,21 Jun  2:57 am,House,4 bedrooms- all en suit Guest washroom Tiled inside floors Ceiling is made of T&J Paved compound Walled and gated Fitted kitchen cabinet Fitted 2 air conditions-sitting hall and master bedroom Car port area 2 sitting halls-upstairs and downstairs Fitted kitchen cabinet Spacious kitchen with storage room located in gated community Paved drive ways Serene and quite environs
3bedroom House in  Airport,Airport Residencial Area,Airport,Accra,3,4,70/90 sqft,Ghana cedis,13200,Benjamin Smith VERIFIED, 1 Jul  4:28 am,House,Am Executive 3Bedroom House with swimming pool and a boys quarter for Rent  ***Features *** -Air conditioners  -wardrobes  -fitted kitchen with a storage room  washing machine  cooker and Spacious  -guest toilet  - security post -Beautiful and Secured environment for Family  -just 2mins drive from the Airport...
Ex 5 B hse 4 rent at East L / hills.,East legon hills.,East Legon,Accra,5,6,100 sqm,Ghana cedis,4000,Godsway ,21 Jun  1:57 am,House,Executive 5bedeoom hse 4 rent at east legon hills close to British international school  have all facilities like water and electricity  airconditions and wall drops in all rooms including living room. Security fence all over  good roads .Walled and gated and is close to main road. Pls call agent Godsway nw.
3 bedrooms house at East Airport,East Airport,Spintex,Accra,3,2,130 sqm,Ghana cedis,5400,Egghead Properties ,20 Jun  8:07 pm,House,Executive 3 bedrooms with 2 bedroom servant’s quarters renting at East Airport Regimanuel estate a gated community off the Spintex road Details of the property •	Available: now  •	City: Accra  Spintex  •	Street: East Airport Regimanuel Estate •	Fence type: Block wall & metallic gate  •	Bedrooms: 3  •	Full baths: 2 •	Condition: very good  •	Total Interior: 216 square meter (sqm)  •	Total Land size: 0.12 acre •	Rent: $1 300.00 per month for one (1) year advance  •	Property type: single family residence •	Year built: 2012 Egghead properties present Executive 3 bedrooms with 2 bedroom servant’s quarters renting at East Airport Regimanuel estate a gated community off the Spintex road on the most tranquil prestigious serene street in Accra. While East Airport Regimanuel estate a gated community may look like it resides in Europe  this extravagant estate is actually located in Accra – Ghana. The wonderful property is a modern glory  100% completed constructed with careful attention to the detail. The ceilings  walls  doors  fixtures  windows  lighting and electronics were hand-selected and crafted to complement the design.  Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Renovated  •	Quality electrical fittings •	Aluminum framed  •	Sliding glazed windows •	Wooden ceiling •	Spacious master suites  •	Fitted Air-conditioners •	Hot water generation system  •	Private locker •	Living + dining:-floor area 40 sqm  aluminum framed sliding glazed security doors for front  security doors for the back  air conditioned  sliding glazed windows. •	Family bathroom:-floor area 8 sqm  with fitted panel bath set in tiled surround with shower attachment over  hand wash basin  low level WC  window and ceramic floor & wall tiles.  •	Master’s bedroom:-floor area 24 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  built-in-wardrobe  sliding glazed window  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  and built-in-wardrobe. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  and built-in-wardrobe. •	Kitchen: - floor area 15 sqm  internal panelled doors  cabinet  stainless steel double sink  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Located in the heart of town   •	Electric power:- Electricity Company of Ghana  •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Landscape courtyard •	 Garden view  •	Guard gated  •	Gym facility  •	Secure parking  •	Privacy fence  •	Balcony  •	Boys’ quarters  •	Garbage disposal •	Detached garage •	24-hour security service •	 Play area (kids) •	 Servant quarters Community Information •	Tiled streets & roads throughout  •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Tennis  •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	 Shops/ markets •	Hospitals •	International schools  •	Gated community Community Schools Information  •	Less than 10 minutes drive to Ghana International School (GIS) – Cantonments  •	Less than 10 minutes drive to the British International School – East Legon •	Less than 10 minutes drive to East Airport International School (EAIS) – Spintex Road  •	Less than 10 minutes drive to Galaxy International School – East  Legon  •	Less than 10 minutes drive to the Roman Ridge School – Roman Ridge  •	Less than 10 minutes drive to Three Bears International School – Airport Residential   Additional information •	Less than 10 minutes drive to Accra shopping mall •	Less than 15 minutes drive to the Kotoka International Airport  •	Recommended security zone for expatriates and diplomats  •	There are trees in the area •	In keeping with nature •	Price: USD price: $1300.00 per month = GH¢5 400.00 per month •	Price is subjected to charge due to the dollar rate  Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa.
5 Bdrm Hse for Rent @ East Legon,East Legon,East Legon,Accra,5,4,450 sqm,Ghana cedis,8000,HS Property ,20 Jun  6:46 pm,House,Price:US$1800 per month.  5 bedrooms house fro rent at East Legon.  The rooms are en-suit. Fitted kitchen  water heater   air condition and funs in each room  standby generator  etc.  It's very suitable for office use.
Executive 3 bedrooms house Spintex,Spintex,Spintex,Accra,3,3,130 sqm,Ghana cedis,2500,Egghead Properties ,22 Jun  8:28 pm,House,Executive 3 bedrooms house renting at community 18 off the Spintex road Details of the property •	Available: now  •	City: Accra  Spintex  •	Street: community 18 •	Fence type: Block wall & metallic gate with electrical wire  •	Bedrooms: 3  •	Full baths: 3 •	Condition: very good  •	Total Land size: 130 square meter (sqm)  •	Property type: single family residence •	Year built: 2017 Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Brand new  •	Never been lived in •	Quality electrical fittings •	Aluminum framed  •	Sliding glazed windows •	Polished porcelain floor tiles   •	Pop ceiling  •	Alarm system-owned •	Spacious master suites  •	Security system •	Storage closet  •	Guest shower & WC •	Fitted Air-conditioners •	Hot water generation system  •	All rooms are ensuite  •	Private locker •	Living + dining:-floor area 42 sqm  security doors for front  security steel doors for the back  air conditioned  sliding glazed windows. •	Master’s bedroom:-floor area 28 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  built-in-wardrobe  walk-in closet  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobe  bathtub  the bathroom is ensuite Shower & hand wash basin  WC ceramic floor & wall tiles. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  built-in-wardrobe the bathroom is ensuite Shower & WC  bathtub  sliding glazed windows and ceramic floor & wall tiles. •	Kitchen:- floor area 14.5 sqm  internal panelled doors   modern cabinet  stainless steel double sink  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Located in the heart of town   •	Electric power:- Electricity Company of Ghana   •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Landscape courtyard •	 Garden view   •	Secure parking  •	Privacy fence  •	Balcony  •	Back yard access •	Private yard •	Garbage disposal •	Electric fenced wall •	 Big terrace •	 Play area (kids) Community Information •	Tiled streets & roads •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Resort •	Spa •	Tennis  •	Police station •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	 Shops/ markets •	Hospitals •	International schools Additional information •	Less than 20 minutes drive to Accra shopping mall •	Less than 25 minutes drive to the Kotoka International Airport   •	Less than 2 miles to Junction shopping mall in Nungua •	Less than 2 miles to the Palace shopping mall  •	Less than 2 miles to Sakumono beach •	Less than 2 miles to Sakumono celebrity golf club •	Less than 2 miles to Sakumono tennis Court   •	Less than 2 miles to KFC restaurant Spintex road  •	There are trees in the area •  Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa.
3Bedroom Fully Furnished House  Tema,Devtracco Estate C.25,Tema Metropolitan,Greater Accra,3,2,100 sqm,Ghana cedis,3960,De Platinum Villas Limited , 6 Jul  9:58 am,House,Now letting inside Devtraco Estates  Community 25 Tema is this executive luxurious comfortable and plush 3 bedrooms fully furnished  house.It is located in a serene environment with access to good road networks portable water electricity schools hospitals  pharmacies shops supermarkets and many other social amenities Features include: -1 Master bedroom En Suite -2 Bedrooms which share a toilet and bath -Large living and dining areas -Well fittede kitchen with gas cooker microwave oven fridge) -Well fitted wardrobes in all bedrooms -Air conditioners in all bedrooms and hall -Gated community with estates management services provided. -Rent per month:The cedi equivalent of $900 plus one month's rent as re-fundable security deposit Advance: 1 month minimum  Agency :10% of the total rent. One year advance is also acceptable
5bedrooms swimming pool East legon,East legon,East Legon,Accra,5,5,100 sqm,Ghana cedis,21050,sammy VERIFIED,20 Jun  4:04 pm,House,5bedrooms swimming pool for rent at east legon and is at a verg nice area all the rooms have toilet and bath in it and is a very good location call for more information on it the conpound is very large and at a good location call for more information
4bedroom house at east legon,East legon,East Legon,Accra,4,4,100 sqm,Ghana cedis,10523,sammy VERIFIED,20 Jun  3:06 pm,House,4bedrooms for rent at east legon this house is at a very good location is around the galaxy school and the place is very safe good location all the rooms have toilet and bath in it call for more information on it
4 Bedroom House at North Kaneshie,,North Kaneshie,Accra,4,3,100x70 sqft,Ghana cedis,5040,David Opaye VERIFIED,20 Jun  9:57 pm,House,Four bedroom houses in a siren environment with a spacious and green compound. This house is ideal for a nature lover and a family that is concerned with a safe environment. One year rent advance is acceptable.
3 bedroom house@Spintex,Spintex,Spintex,Accra,3,3,300 sqm,Ghana cedis,7200,Gaps Ghana ,20 Jun  1:32 pm,House,This elegant 3 bedroom house located at Spintex in an extremely neat gated community comes with a maids quarters garden fitted kitchen and air condition units in all the bedrooms.
6 BEDROOM HOUSE AT EAST LEGON,,East Legon,Accra,6,5,1 sqm,Ghana cedis,9460,N & G Property Services Limited ,20 Jun  1:16 pm,House,REFERENCE NO: HSE 44 STUNNING 6 BEDROOM HOUSE FOR RENT AT EAST LEGON AVAILABLE NOW PRICE IN USD : $2 200
4 bedroom house in airport residential,4 bedroom house in airport residential,Airport,Accra,4,5,100 sqft,Ghana cedis,13000,Amazing Properties ,27 Jun  1:22 pm,House,4 bedrooms house with 1-bedrom boys quarter for rent at Airport residential area.  * Spacious living area * Dining area *Family living area *Visitors washroom * Fitted cabinet kitchen with 4 burner stove  heat extractor and double decker refrigerator.  * Store room * Standby generator * Water heaters * Air conditions in all rooms including kitchen. * Ceiling fan * Wardrobes * Balconies * Security post * Pavement compound with beautiful garden * Electronic garage  Asking price $3200 dollars per month for one year or more negotiable. • Fence type: Block wall and metallic gate with electrical wire • Bedrooms: 4 • Full bath: 5 • Condition: very good Inside/Indoors/Interior Features & Ameniti • Prime location • Quality electrical fittings • Sliding glazed windows • Security doors • porcelain floor tiles • P.O.P ceiling with spots lights • Alarm system-owned • Spacious master suites • Security system • Storage closet • Guest shower & WC • Fitted air condition • Hot water generation system • All rooms are ensuite • Private locker Landmark: Airport residential area.
4 bedroom house for rent at East Legon,Trasacco,East Legon,Accra,4,4,300 sqm,Ghana cedis,7200,Gaps Ghana ,20 Jun  1:05 pm,House,This nice 4 bedroom house located at East Legon comes with a 1 bedroom maids quarters.It has a garden electric fence fitted kitchen air condition units in all the bedrooms and a family area.
4 Bedroom House  For Rent @ Tema,Golf city police station,Tema Metropolitan,Greater Accra,4,3,100 sqm,Ghana cedis,1400,De Platinum Villas Limited , 6 Jul 10:00 am,House,Available for rent at Golf City near the Police Station Tema  is this  luxurious comfortable spacious executive and plush  4 bedrooms house.   It is located in a serene environment with access to good road network electricity potable water schools hospitals pharmacies shops and supermarkets. Features of the house include the following: -1 Large master bedroom En Suite. - 1 Guest room En Suite -2 bedrooms which share a toilet and bath -1 visitor's toilet. - Large living and dining areas -Well fitted kitchen -1 washing area  -Large compound with beautiful and paved compound -Secured wall and gate -Water reservoir Agency fee:One month's rent
4 bedrooms house in East legon for rent,Ability square,East Legon,Accra,4,4,100 sqm,Ghana cedis,9500,Edward ,21 Jun  3:06 am,House,Four bedrooms house self contain  with swimming pool  serene atmosphere with kitchen  security post and summer hat
4Bedroom House at East legon,east airport,Airport,Accra,4,4,100*70 sqm,Ghana cedis,6000,Best Choice Facility Care Services ,20 Jun 10:57 am,House,4Bedroom house at east airport close to the Palace mall  on a tiled road  nice compound and paved  water flows  price is negotiable  contact
8 bedroom house in East Legon prime area,American House,East Legon,Accra,8,7,100x70 sqft,Ghana cedis,14000,Avenue Properties ,20 Jun 10:01 am,House,To let: Executive EIGHT bedroom brand new house for rent in American House  East Legon near PH Hotel. Each room comes with wardrobe and air condition. The house has a large car parking area  a garage and a security post. It has a dining area  a study and two living areas. The area has uninterrupted water flow. It is suitable for office and residence and it is renting for US$ 3 500 per month (negotiable).
11 bedroom house in Tema SOS,Tema SOS Village,Tema,Greater Accra,10+,10+,100x100 sqft,Ghana cedis,12800,Avenue Properties ,20 Jun  9:07 am,House,An executive eleven (11) bedroom house to let or lease at Tema Community 10 near the SOS Village. The property is suitable for home/ corporate office as its location is on a road side. It has spacious car parking space with garden around the house and the area has uninterrupted water flow. Each room has an A/C and a wardrobe. There are two living areas and two kitchens and it is renting for US$ 3 200 per month (NEGOTIABLE).
5 bedroom house in East Legon Galaxy Sch,Galaxy International School,East Legon,Accra,5,5,100x70 sqft,Ghana cedis,16000,Avenue Properties ,20 Jun  9:02 am,House,Executive five bedroom house with two (2) bedroom boys quarters for rent at East Legon near Galaxy International School  Accra. Each room has A/C  internet and DSTV connection  wardrobe and fan in each room. The kitchen is partly furnished with cooker and microwave. The house has a standby generator and a large car parking area. The area has uninterrupted water flow and it is suitable for residential or commercial activity. The house is renting for US$ 4 000 per month.
Ex 4 bedroom house IN Spintex,Spintex 18,Spintex,Accra,4,3,100 sqft,Ghana cedis,2500,Unique Agency VERIFIED,20 Jun  8:33 am,House,This is a 4 bedroom house located in spintex block factory in a gated community.  It has a large hall with the darning area with a fitted kitchen with cabinet   air condition in all the rooms   inbuilt wardrobe   two master bedroom    balcony   one room outlet  beautiful green grass and nicely paved compound fence with gate.
2 Bedrooms House At Lashibi,Community 18  Lashibi,Lashibi,Accra,2,2,7000 sqft,Ghana cedis,1000,CBC (Global) Properties , 7 Jul  3:58 pm,House,Community 18  Lashibi-Spintex  Accra 5 Bedrooms Main House with 2 Bedrooms Out-House. All rooms en-suite( with Toilet/Bath) Outhouse- 2 Bedrooms Ground floor- 2 Bedrooms Top floor-3 Bedrooms Tiled floor Fitted Kitchen Walled and gated water tank Call us to arrange for a free site visit
MODERN 7 BRM HOUSE TO LET - FRAFRAHA,Ashiyie  near Foster Home,Adenta,Accra,7,7,400 sqm,Ghana cedis,2500,UT Properties , 6 Jul  5:24 pm,House,A modern 7 bedroom all en suit house located in Frafraha  a fast growing enclave within the Greater Accra environs. Built specifically with the family in mind  this is demonstrated in its spacious living and dining areas  well kept landscape amongst others. KEY FEATURES Fitted ac's in all bedrooms and living area Family area Fitted kitchen Guest washroom Electrical fencing
6 bedroom house in East Airport Resident,East Airport near Lista Hospital,Airport,Accra,6,6,100x140 sqft,Ghana cedis,10800,Avenue Properties ,20 Jun  8:22 am,House,An executive newly built SIX bedroom house (all en-suite) to let at East Airport near East Airport International School. The house has a large compound with garden and a summer hat. It has a security post and one room outhouse. It has large living area and spacious bedrooms. Each room comes with wardrobe  fan and A/C. It has a spacious kitchen fitted with cabinets. It is renting for US 2 700 per month (negotiable).
2 bedroom house IN Achimota,Achimota,Achimota,Accra,2,1,100 sqft,Ghana cedis,1000,Unique Agency VERIFIED,20 Jun  7:00 am,House,This is nice chamber and hall self contain house in achimota kingsby. We 've  removed the old tiles and fixed new ones including the celling . it has large hall with fitted kitchen with cabinet  spacious bedrooms   water flow constantly   compound is paved and fence with gate in a clean serene.  2yrs!
4Bedrooms House To Let in Afienya,Tema-Afienya,Tema Metropolitan,Greater Accra,4,3,100/70 sqft,Ghana cedis,800,Albert Tetteh Properties ,20 Jun  6:56 am,House,4Bedrooms House self compound  To Let at Afienya Behind the Police station
3 BEDROOM   HOUSE AT DARKUMAN,,Darkuman,Accra,3,2,80X100 sqft,Ghana cedis,1500,Divine Marketing Concept ,20 Jun  4:26 am,House,1. 3 bedroom self compound house at Darkuman on tarred road 2. Property is located just a minute drive off Darkuman main road 3. Property has spacious compound with Garage 4. There is wardrobe in the Master Bedroom 5. Fitted kitchen cabinets up and down 6. There is security wiring with serenity in the area 7.  Agency registration fee before inspection fee is gh50 8. Agency commission is 10 percent of final amount paid to owner
Furnished House For Rent Tesano,Near Tesano Sports Club,Osu,Accra,2,2,5 sqft,Ghana cedis,5000,JD Properties ,20 Jun  4:10 am,House,Located in the quite and serene Tesano Residential area  this beautifully furnished two bedroom self compound with boys quarters is available for long and short term.  The property is newly finished so all the amenities are new and of the highest quality. There is a spacious paved compound to park about 2 or three cars.  This elegant house is close to Tesano Sports Club  Mizpah Int. School  Papaye Restaurant  Hobats Clinic  the Accra-Nsawam Highway and the N1 leading to Achimota  Abelemkpe  Dzorwulu  with easy access to Roman Ridge  East Legon  Accra Mall  Airport  Osu  Labone and so on.. Please call or WhatsApp the number provided to arrange viewing or for any further information.
3 BDRM House For Rent Dzorwulu,Perez Chapel/Plant Pool,Dzorwulu,Accra,3,3,5 sqm,Ghana cedis,5000,JD Properties ,20 Jun  4:09 am,House,This 3 bedroom house under renovation is available for rent in Dzorwulu  near Plant Pool and Perez Dome Chapel. The landlord has bought all the materials needed to finish with the renovation and work is currently ongoing . At the moment the work is quite slow due to lack of adequate funds so the landlord wants prospective tenants who are interested to make some financial commitment in order to complete the renovation quickly  hence the low bargain price. The location of this property is ideal for anyone who wants easy access to places like Abelemkpe  Achimota  Tesano  Roman Ridge  Airport  East Legon  Cantonments  Osu and so on.. Kindly call or WhatsApp the number provided for any further details and to arrange viewing at your convenience.
3bedrooms furnish @adenta,adanta,Dzorwulu,Accra,3,3,100 sqm,Ghana cedis,2700,sammy VERIFIED,20 Jun  1:57 am,House,3bedrooms fully furnish  for rent at ADENTA this house has a security camera and washing machine and other stuff and there is a Garden at the house and DSTV the house is at a nice location call for more information on it it comes with air condition  and fridge call for more information  on it
6Bedroom House Gimpa,Gimpa Road,West Legon,Accra,6,6,100*70 sqm,Ghana cedis,4200,Best Choice Facility Care Services ,19 Jun 11:03 pm,House,Executive 4bedroom main house with 2bedroom outer house at kissieman  each room have an air conditioning  wardrope  big compound for parking close to kiss I mean (Gimpa) visit or call best choice facility care for more enquiries .
Three bedroom house @Ashongman,Ashongman estate close to Melcom,Ashongman Estates,Accra,3,3,12/14 sqft,Ghana cedis,1500,Nana 1 Estate Agency VERIFIED,23 Jun  1:52 pm,House,spacious bedrooms big kitchen constant water flow modernize toilet and bathroom facilities etc.
Three bedroom house @Ashongman,Ashongman estate,Ashongman Estates,Accra,3,3,12/14 sqft,Ghana cedis,1800,Nana 1 Estate Agency VERIFIED,23 Jun  1:50 pm,House,three bedroom house for rent with wardrobe constant water flow nice kitchen cabinet spacious bedrooms etc
4 bed Swimming pool House at East Legon,East Legon near A&C; Shopping Mall,East Legon,Accra,4,4,100x70 sqft,Ghana cedis,16000,Avenue Properties ,19 Jun  7:06 pm,House,An executive four bedroom house (all en-suite) with swimming pool and two room outhouse to let at East Legon near A&C Shopping Mall. It also has a garden. Each room has A/c  wardrobe and fan. There are two living areas and a bar (entertainment area). The kitchen is partly furnished and a standby generator and garage. There is a large car parking area and could be used for office or residence. The area has uninterrupted water flow and it is renting for US$ 4 000 per month. Details and related properties could be seen on avenueghana.com
Executive 4 Bedrooms@adjiringano,,Adjiriganor,Accra,4,5,130 sqft,Ghana cedis,6880,Tetrauslerproperties ,19 Jun  2:56 pm,House,This executive 4 bedrooms house with boys quarter is in a neatly tiled compound big enough to park more than 10 cars  each room has toilet and bath  24/7 available water security post  fitted kitchen with washing mashing  at 69 Adjiringanor-East legon area  Rent amount is $ 1 600
3 BEDROOM HOUSE -East Legon,,East Legon,Accra,3,3,90 sqm,Ghana cedis,7740,Gaps Ghana ,19 Jun  1:48 pm,House,This Elegant 3 Bedroom House is available for rent in East Legon It is a beautiful house built on one floor. The plan emphasizes the functionality and practicality of the house. it sits on a spacious plot of land and comes with a lot of parking space.  It comes with All rooms basically furnished and built-in wardrobes and air-conditioned units in all the rooms. There is a lawn behind that makes room for little gatherings or barbecue. FEATURES: 3 Bedrooms Built-in Wardrobes Air-condition to all rooms equipped Kitchen Secured Area Fully Fenced Backup Water Tank Backup Generator
Exec. 5 B/R 1 BQS at  Madina Obojoo,Madina obojo,Madina,Accra,5,6,1 sqm,Ghana cedis,4200,Edmark Estate Agency ,19 Jun 12:50 pm,House,its an executive 5 bedrooms house with a one bedroom boy-squatters at Madina Obojoo nice location close to the tiled road tiled floor  all the rooms are en-suite with a guest toilet house fully fenced with a gate  tiled compound with beautiful landscape and more its going for 1000 dollars negotiable  for more properties visit www.edmarkpropertygh.com
seven bedroom hse for rent at Ahodwo,Ahodwo,Ahodwo,Kumasi,7,7,15 sqm,Ghana cedis,12000,Bredon Estate/Agency VERIFIED,19 Jun 12:45 pm,House,Seven bedrooms for rent at Ahodwo with the following features. * five bedrooms with two bed rooms boys quarters  * fully tiled floor * all rooms with washrooms * partially furnished * fully air-conditioning * close to the main road * water and electricity * compound paved compound * one or two years rent Advance require *price is $3000/month
Newly built 3BEDROOM @East Legon,East Legon Hills,East Legon,Accra,3,2,1000 sqft,Ghana cedis,1400,Benjamin Smith VERIFIED,19 Jun  9:38 am,House,This is a spacious 3bedroom self compound for Rent at East Legon Hills It has wardrobe  fitted kitchen and Spacious compound with garden  Please call us for more information..
Executive 3bed at Spintex,Spintex behind the Ecobank,Spintex,Accra,3,3,100 sqft,Ghana cedis,2500,Sinaman John VERIFIED,19 Jun  9:33 am,House,Brand new Executive 3bedroom house for rent at Spintex Close to the Ecobank. Air-condition in all rooms and all master as well. Is a town house with good access road.
Exe 3bedroom with 2bed bq  East Legon,East Legon Hills,East Legon,Accra,3,4,90/100 sqft,Ghana cedis,1600,Benjamin Smith VERIFIED, 1 Jul  4:34 am,House,This is an Executive 3Bedroom House with 2Bedroom Boys quarter for Rent at East Legon Hills  ****Features **** All rooms are are en-suits with  Air conditioners  Wardrobe  Fan Fitted kitchen  Guest toilet  Dinning area with AC  Spacious compound  2Bedroom Boys quarter  Please call us for more information..
4 BEDROOM HOUSE IN ROMAN RIDGE,Roman Ridge,Roman Ridge,Accra,4,4,100 sqft,Ghana cedis,5000,Unique Agency VERIFIED,30 Jun  2:58 pm,House,This is  4 bedroom house in roman ridge for rent. It has a large hall   a nice fitted kitchen with cabinet   air condition in all the rooms   spacious  bedrooms and a master bedroom   big compound with space for car park fence with gate house.  $1200 per month
4 bedroom house in Cantonments Accra,Cantonments near the Police Head Quarters,East Legon,Accra,4,4,500 sqm,Ghana cedis,15000,Avenue Properties ,18 Jun  8:07 pm,House,NB: It's a town-house. Executive NEWLY BUILT four bedroom Estates or Townhouse for rent in Cantonments near the Ghana Police Head Quarters. The house has a nice neighbourhood with 24/7 security  uninterrupted water and electricity supply with a standby plant/generator and a swimming pool. It has a partly furnished Kitchen with each room having A/C and wardrobe. The house could be rented for US$ 4 200 furnished and US$ 3 800 unfurnished.  This amount is inclusive of the service charge.
